vadfv,0,739726,0.0,100.0,1688234773785,deposit
vadfv,739726,0,10.0,0.0,1688235005213,withdrawal
vadfv,0,739726,0.0,1500.0,1688235078075,deposit
vadfv,739726,783119,90.0,0.0,1688235775371,transfer
ECVDy,0,739726,0.0,100.0,1688298864876,deposit
FPoho,0,739726,0.0,1.1,1688479776510,deposit
xjVKZ,739726,0,1.2,0.0,1688479783021,withdrawal
1ANQq,739726,838827,1.4,0.0,1688480047055,transfer
raJsk,0,739726,0.0,1.1,1688480108941,deposit
jTldH,0,739726,0.0,1.3,1688480113510,deposit
0TUuE,0,739726,0.0,1.2,1688480184082,deposit
3w3Bx,0,739726,0.0,1.2,1688480190291,deposit
DUzng,0,739726,0.0,1.1,1688480195568,deposit
Mp2qm,0,739726,0.0,1.2,1688480199359,deposit
NUvJR,739726,0,1.1,0.0,1688480208673,withdrawal
x2VtN,0,739726,0.0,1.11,1688482933567,deposit
tc2bg,0,739726,0.0,1.1,1688482942128,deposit
P2w8X,0,739726,0.0,1.1,1688483018470,deposit
bx4KA,0,739726,0.0,1.1,1688483024865,deposit
xNTpk,0,739726,0.0,1.1,1688483027786,deposit
HvH3x,0,739726,0,1,1688484089551,deposit
jSp7l,0,739726,0,1.1,1688484092970,deposit
yRNY0,0,739726,0,1.11,1688484111398,deposit
XGGgt,0,739726,0,1,1688484119140,deposit
RsHPC,0,739726,0,1.1,1688484122134,deposit
c4ZiJ,0,739726,0,1.1,1688484124633,deposit
cMB6q,739726,0,1.1,0,1688484129826,withdrawal
NnGEL,739726,838827,10,0,1688656911371,transfer
Uh6P2,0,739726,0,11,1688740102306,deposit
GKJQP,739726,0,100,0,1688740126258,withdrawal
w0UdD,739726,860317,100,0,1688740138960,transfer
2xY94,0,739726,0,1,1688740243337,deposit
Ezt7P,0,739726,0,10,1688740388707,deposit
DN2Ek,739726,0,10,0,1688740402193,withdrawal
GyTee,739726,860317,15,0,1688740411853,transfer
